Time,COP X (cm),COP Y (cm)
0,-16.8829,-10.74257
0.02,-15.64799,-11.31167
0.3023713,-15.94569,-11.122
0.330096,-16.80482,-11.03374
0.3467137,-15.69498,-11.31769
0.3632316,-16.79187,-11.5658
0.3797983,-16.79187,-11.5658
0.3963647,-17.40818,-12.17717
0.4129314,-17.61106,-11.48039
0.4294985,-18.90643,-12.20702
0.4461032,-17.33918,-11.21852
0.4626443,-17.33918,-11.21852
0.479198,-17.33918,-11.21852
0.4959657,-17.1037,-11.40032
0.5129294,-17.1037,-11.40032
0.5288982,-16.71069,-11.55694
0.5459797,-18.52827,-12.36767
0.5620316,-16.78166,-11.72887
0.5788286,-16.78166,-11.72887
0.5951657,-17.15428,-11.38867
0.6117787,-16.93383,-11.9958
0.6282982,-16.93383,-11.9958
0.6457822,-16.25695,-11.1222
0.6616536,-16.46524,-11.20138
0.6779987,-16.46524,-11.20138
0.6945731,-16.13746,-11.55422
0.7111312,-17.92501,-11.65862
0.7278979,-17.92501,-11.65862
0.7446066,-16.28744,-10.98493
0.7609281,-17.6821,-11.48371
0.7773983,-17.6821,-11.48371
0.7939734,-17.24126,-11.31447
0.8105318,-17.51542,-12.36661
0.8276674,-16.89169,-11.3081
0.8438501,-17.85723,-11.57226
0.8602316,-16.30802,-11.05062
0.8768082,-16.30802,-11.05062
0.893912,-16.26699,-11.31952
0.9099308,-16.97869,-11.2921
0.9266726,-16.45825,-11.3934
0.943921,-17.71099,-11.40167
0.9596319,-17.71099,-11.40167
0.9761984,-16.90874,-11.64355
0.9927747,-16.41945,-11.39036
1.009521,-17.1827,-11.55595
1.025916,-17.58668,-11.47376
1.042874,-15.98836,-10.24412
1.059829,-15.98836,-10.24412
1.075676,-17.22971,-11.40001
1.092537,-16.65595,-11.30678
1.108731,-16.94756,-11.73391
1.125741,-15.38088,-10.70485
1.141884,-17.32691,-11.45637
1.158432,-17.32691,-11.45637
1.174998,-17.15845,-12.44906
1.191565,-17.01966,-10.9596
1.208132,-15.90222,-10.50351
1.224916,-17.10525,-11.73166
1.241265,-16.62248,-11.22161
1.258034,-16.62248,-11.22161
1.275001,-16.92155,-11.14029
1.290965,-16.47497,-11.37996
1.307531,-17.17212,-11.48534
1.324098,-16.81612,-11.14495
1.340917,-16.4705,-11.90505
