Time,COP X (cm),COP Y (cm)
0,-2.877091,-1.563716
0.02,-2.799161,-1.584584
0.3273047,-3.250312,-1.929585
0.3561613,-3.479917,-1.9144
0.3729268,-3.407681,-1.90736
0.389722,-3.385335,-1.949147
0.4067562,-3.385335,-1.949147
0.4226183,-3.479215,-1.924698
0.4389964,-3.479215,-1.924698
0.4558195,-3.612705,-1.911533
0.4727294,-3.561169,-1.915641
0.4887003,-3.482671,-1.937415
0.5056875,-3.612368,-1.943589
0.5218303,-3.494213,-1.932942
0.5385977,-3.494213,-1.932942
0.5549632,-3.417549,-1.912486
0.5715302,-3.417549,-1.912486
0.5880969,-3.463048,-1.786919
0.6054597,-3.41363,-1.813548
0.6213766,-3.510948,-1.834439
0.6377974,-3.510948,-1.834439
0.6544102,-3.508563,-1.74682
0.6714434,-3.572126,-1.780608
0.6877696,-3.537691,-1.772467
0.7040633,-3.537691,-1.772467
0.7207998,-3.390784,-1.714241
0.7376339,-3.390784,-1.714241
0.7537628,-3.492815,-1.670716
0.7705454,-3.5096,-1.689772
0.7869096,-3.5096,-1.689772
0.8036448,-3.382593,-1.752335
0.8208451,-3.474693,-1.746973
0.8367214,-3.474693,-1.746973
0.8537905,-3.580204,-1.672722
0.8697302,-3.619889,-1.673279
0.8862969,-3.550731,-1.63612
0.9028627,-3.52323,-1.675651
0.9198276,-3.52323,-1.675651
0.9368315,-3.525041,-1.697865
0.9525712,-3.621272,-1.661954
0.9700905,-3.565293,-1.687012
0.9859409,-3.549982,-1.67896
1.00312,-3.614296,-1.658794
1.018962,-3.614296,-1.658794
1.035398,-3.557908,-1.605365
1.051971,-3.69188,-1.678634
1.068915,-3.547596,-1.632148
1.085097,-3.563322,-1.718985
1.101794,-3.57821,-1.650562
1.118776,-3.57821,-1.650562
1.134889,-3.682698,-1.608405
1.151363,-3.55956,-1.674619
1.168047,-3.501133,-1.664465
1.184955,-3.499817,-1.653589
1.201099,-3.449169,-1.615073
1.218027,-3.449169,-1.615073
1.234197,-3.415507,-1.695733
1.251181,-3.415507,-1.695733
1.26733,-3.358573,-1.654682
1.284122,-3.385132,-1.734508
1.301175,-3.316605,-1.718379
1.317042,-3.316605,-1.718379
1.333996,-3.11496,-1.799571
1.350935,-3.211097,-1.809611
1.36673,-2.981942,-1.875412
1.383431,-2.981942,-1.875412
1.399864,-2.981942,-1.875412
1.416473,-3.003884,-1.844518
1.433305,-3.003884,-1.844518
1.449563,-3.070297,-1.80669
1.466302,-3.070297,-1.80669
1.482696,-3.123283,-1.804777
1.499502,-3.123283,-1.804777
1.51583,-3.11194,-1.809571
1.532665,-3.160981,-1.751023
1.549205,-3.230333,-1.767396
1.565668,-3.26407,-1.667893
1.582097,-3.315728,-1.824969
1.599038,-3.315728,-1.824969
1.61523,-3.452696,-1.670129
1.63223,-3.466943,-1.610813
1.649224,-3.596544,-1.714416
1.665065,-3.687219,-1.69772
1.681497,-3.591303,-1.711164
1.698064,-3.591303,-1.711164
1.714868,-3.888498,-1.726816
1.731197,-3.857407,-1.676369
1.747763,-3.775155,-1.698238
1.76433,-3.963782,-1.677196
1.781005,-3.937029,-1.751623
1.797464,-3.937029,-1.751623
1.81412,-3.971183,-1.701511
1.831595,-3.981332,-1.708222
1.847163,-3.936315,-1.616753
1.86373,-4.102714,-1.70778
1.880361,-4.048881,-1.63227
1.896864,-4.048881,-1.63227
1.91343,-4.030218,-1.72166
1.930269,-4.023717,-1.67253
1.947245,-3.959688,-1.750386
1.963175,-4.072845,-1.685864
1.979697,-4.072845,-1.685864
1.996263,-3.937701,-1.727278
2.013116,-4.008235,-1.698568
2.030047,-4.011363,-1.724772
2.046018,-3.999112,-1.638304
2.062973,-4.076158,-1.697263
2.079097,-4.076158,-1.697263
2.096089,-4.045646,-1.668959
2.112326,-3.916169,-1.712227
2.129184,-3.724205,-1.648562
2.145363,-3.814097,-1.707693
2.162147,-3.853428,-1.718083
2.178507,-3.853428,-1.718083
2.195064,-3.892884,-1.691553
2.211629,-3.938818,-1.695549
2.228198,-3.907603,-1.715329
2.244764,-3.825933,-1.671436
2.261339,-3.74895,-1.654603
2.278161,-3.74895,-1.654603
2.294464,-3.918774,-1.630918
2.311122,-3.897818,-1.565196
2.328032,-3.897818,-1.565196
2.344188,-3.87888,-1.675009
2.361172,-3.834287,-1.583186
2.3773,-3.834287,-1.583186
2.394089,-3.677391,-1.691381
2.41043,-3.822815,-1.585649
2.427126,-3.659322,-1.690975
2.443564,-3.665252,-1.658951
2.461066,-3.665252,-1.658951
2.477051,-3.665252,-1.658951
2.493882,-3.795484,-1.789479
2.509832,-3.782117,-1.757709
2.526397,-3.742598,-1.715383
2.542977,-3.742598,-1.715383
2.55953,-3.742598,-1.715383
2.577107,-3.632385,-1.679409
2.592663,-3.712986,-1.690345
2.60923,-3.741184,-1.684187
2.625842,-3.741184,-1.684187
2.642363,-3.648252,-1.657007
2.65893,-3.648252,-1.657007
2.675866,-3.710906,-1.680835
2.692063,-3.664058,-1.700029
2.70863,-3.633454,-1.616189
2.725197,-3.59244,-1.69622
2.741837,-3.81052,-1.666917
2.758787,-3.81052,-1.666917
2.775704,-3.492943,-1.6294
2.791463,-3.682876,-1.733075
2.808087,-3.60181,-1.611286
2.824595,-3.449232,-1.729203
2.841163,-3.64952,-1.691597
2.85773,-3.64952,-1.691597
2.874297,-3.682725,-1.675463
2.891214,-3.756284,-1.67137
2.908142,-3.644947,-1.553299
2.924014,-3.708446,-1.609574
2.940969,-3.768507,-1.564511
2.957901,-3.768507,-1.564511
2.973923,-3.796054,-1.658397
2.990263,-3.85569,-1.665101
3.00699,-3.861581,-1.63572
3.02389,-3.828282,-1.651936
3.039963,-3.828282,-1.651936
3.056839,-3.818911,-1.793921
3.073097,-3.897169,-1.663703
3.089663,-3.829938,-1.717919
3.106229,-3.786311,-1.649424
3.122912,-3.862332,-1.678224
3.139881,-3.862332,-1.678224
3.155938,-3.770082,-1.641108
3.172496,-3.770082,-1.641108
3.189063,-3.788428,-1.618436
3.205629,-3.896564,-1.607481
3.222196,-3.909012,-1.717044
3.238764,-3.909012,-1.717044
3.25533,-3.790673,-1.687853
3.272135,-3.798679,-1.702781
3.289137,-3.691341,-1.78117
3.305248,-3.691341,-1.78117
3.322233,-3.752369,-1.698843
3.338164,-3.752369,-1.698843
3.354731,-3.677165,-1.672021
3.371297,-3.788247,-1.649156
3.387864,-3.788247,-1.649156
3.40443,-3.741998,-1.70549
3.420998,-3.728784,-1.687116
3.437563,-3.728784,-1.687116
3.45415,-3.870439,-1.693238
3.470696,-3.870439,-1.693238
3.487286,-3.67041,-1.68808
3.503992,-3.67041,-1.68808
3.520397,-3.798226,-1.792457
3.537016,-3.798226,-1.792457
3.553894,-3.881593,-1.71519
3.57011,-3.638054,-1.682869
3.587008,-3.618669,-1.672886
3.603947,-3.662621,-1.673093
3.620083,-3.504563,-1.668813
3.636363,-3.504563,-1.668813
3.653086,-3.529525,-1.728315
3.670321,-3.615757,-1.694405
3.686069,-3.615531,-1.682838
3.70263,-3.619927,-1.672687
3.71921,-3.619927,-1.672687
3.736216,-3.67149,-1.723058
3.75233,-3.725397,-1.799695
3.768994,-3.546758,-1.736771
3.785927,-3.689327,-1.667158
3.802995,-3.622822,-1.744091
3.818597,-3.622822,-1.744091
3.83517,-3.569314,-1.702119
3.85203,-3.598023,-1.674645
3.868981,-3.685388,-1.653992
3.884865,-3.686317,-1.733157
3.90194,-3.732926,-1.599788
3.91801,-3.732926,-1.599788
3.934863,-3.616732,-1.729142
3.951143,-3.674476,-1.649145
3.967781,-3.748543,-1.685564
3.984262,-3.61175,-1.66963
4.000979,-3.738796,-1.77328
4.017869,-3.738796,-1.77328
4.033971,-3.781414,-1.671222
4.050832,-3.768225,-1.65293
4.067095,-3.768225,-1.65293
4.083662,-3.753493,-1.690847
4.100229,-3.753493,-1.690847
4.117073,-3.753493,-1.690847
4.13413,-3.769931,-1.699233
4.14993,-3.769931,-1.699233
4.166497,-3.727706,-1.710379
4.183064,-3.801416,-1.739208
4.200003,-3.801416,-1.739208
4.216231,-3.801416,-1.739208
4.23316,-3.653819,-1.726196
4.24933,-3.679532,-1.751335
4.266079,-3.686832,-1.701928
4.282463,-3.673713,-1.726425
4.29903,-3.673713,-1.726425
4.315794,-3.660494,-1.708104
4.332162,-3.660494,-1.708104
4.348754,-3.72567,-1.698913
4.365296,-3.72567,-1.698913
4.382194,-3.660578,-1.65217
4.399158,-3.660578,-1.65217
4.415161,-3.790343,-1.734123
4.432147,-3.687745,-1.667361
4.448128,-3.794212,-1.619667
4.464696,-3.704213,-1.696852
4.481297,-3.771185,-1.63139
4.498012,-3.771185,-1.63139
4.515244,-3.87604,-1.590519
4.531198,-3.87604,-1.590519
4.548133,-3.827744,-1.596117
4.564278,-3.797074,-1.523781
4.580664,-3.923712,-1.524988
4.59723,-3.923712,-1.524988
4.613795,-3.723468,-1.527428
4.630364,-3.614544,-1.481073
4.647151,-3.815499,-1.575431
4.664097,-3.812434,-1.571324
4.680063,-3.825954,-1.512518
4.696931,-3.825954,-1.512518
4.713217,-3.782767,-1.589271
4.729763,-3.78107,-1.601342
4.746339,-3.830299,-1.659425
4.763181,-3.819907,-1.600174
4.779463,-3.819907,-1.600174
4.796171,-3.811219,-1.599883
4.813069,-3.784586,-1.546909
4.829215,-3.975988,-1.586613
4.846206,-3.80588,-1.655514
4.862304,-3.80588,-1.655514
4.879115,-3.80588,-1.655514
4.895432,-3.709441,-1.616596
4.912019,-3.709441,-1.616596
4.928825,-3.717272,-1.643198
4.945129,-3.717272,-1.643198
4.961725,-3.676659,-1.59995
4.978263,-3.676659,-1.59995
4.994831,-3.76844,-1.625321
5.011397,-3.756271,-1.543708
5.02816,-3.776477,-1.564982
5.045156,-3.571725,-1.580174
5.061894,-3.682197,-1.561643
5.077663,-3.682197,-1.561643
5.095146,-3.575942,-1.482117
5.111124,-3.554392,-1.505687
5.127364,-3.554392,-1.505687
5.144059,-3.552295,-1.448304
5.160497,-3.502063,-1.363732
5.177137,-3.502063,-1.363732
5.19363,-3.502086,-1.399305
5.210196,-3.502086,-1.399305
5.226763,-3.58777,-1.430097
5.24333,-3.515844,-1.344671
5.259896,-3.515844,-1.344671
5.276464,-3.575001,-1.411977
5.293099,-3.557215,-1.444515
5.309597,-3.602036,-1.399775
5.326216,-3.590858,-1.392029
5.343163,-3.733892,-1.398761
5.359893,-3.733892,-1.398761
5.376087,-3.509976,-1.366733
5.392995,-3.529484,-1.369411
5.409956,-3.330199,-1.272788
5.425851,-3.242982,-1.304275
5.44213,-2.953126,-1.283046
5.458926,-2.953126,-1.283046
5.475772,-2.223369,-1.350843
5.49183,-1.590476,-1.428517
5.508403,-0.7010715,-1.502908
5.525008,0.5867503,-1.946676
5.542004,1.337267,-2.361693
5.558949,1.337267,-2.361693
5.574664,2.944992,-3.132896
5.59123,3.038859,-3.331174
5.607797,2.991335,-3.458973
5.624363,1.079464,-3.181455
5.64093,-1.278808,-2.391191
5.657497,-1.278808,-2.391191
5.674069,-2.348881,-2.020382
5.691022,-3.581289,-2.303667
5.708079,-4.980119,-1.877694
5.724083,-4.980119,-1.877694
5.74033,-6.208292,-1.852063
5.75697,-6.208292,-1.852063
5.773463,-9.389154,-1.896075
5.790169,-11.29723,-1.974773
5.806597,-12.93801,-2.094308
5.823179,-13.82564,-2.824935
5.83973,-13.82564,-2.824935
5.856297,-13.19703,-3.045808
5.873017,-12.75855,-3.513863
5.88943,-12.75855,-3.513863
5.906168,-12.09381,-3.585047
5.923069,-11.97611,-3.718365
5.93913,-11.97611,-3.718365
5.955698,-11.51155,-3.709837
5.972278,-10.55206,-3.094616
5.988965,-10.55206,-3.094616
6.005397,-9.091133,-2.470496
6.022282,-8.159598,-2.575454
6.039121,-8.159598,-2.575454
6.055097,-7.909163,-3.855735
6.072085,-8.03163,-3.925591
6.08823,-8.158123,-3.951527
6.104802,-8.158123,-3.951527
6.121364,-7.462494,-4.209788
6.138608,-7.462494,-4.209788
6.154682,-6.304948,-4.346247
6.171649,-5.556373,-4.136708
6.187681,-5.001684,-3.547204
6.204728,-3.819356,-2.658167
6.22169,-3.819356,-2.658167
6.237493,-3.819356,-2.658167
6.254536,-1.115061,-0.3843828
6.270463,0.06706156,0.1882527
6.287042,1.118559,0.6885836
6.303935,1.735577,1.014715
6.320164,2.153366,1.194288
6.336929,2.153366,1.194288
6.353817,2.531538,1.306432
6.37012,2.880219,1.405263
6.38643,3.029535,1.366166
6.403164,3.014137,1.313588
6.420108,2.734797,1.405554
6.43613,2.734797,1.405554
6.453207,1.923752,1.540448
6.469264,1.396071,1.872566
6.485883,1.194445,2.463899
6.503107,1.157739,3.059072
6.518978,1.157739,3.059072
6.535792,0.9926343,3.500786
6.552135,0.7246697,3.569425
6.568871,0.7246697,3.569425
6.585233,0.3524486,3.480245
6.601985,-0.04575561,3.260349
6.618365,-0.04575561,3.260349
6.634931,-0.8906397,1.76559
6.651815,-2.124333,1.02696
6.668063,-3.33557,0.6328422
6.684748,-4.580292,-0.510481
6.701681,-4.580292,-0.510481
6.718134,-4.580292,-0.510481
6.73433,-7.232083,-2.943633
6.751245,-8.166669,-3.868266
6.767463,-9.786225,-5.174248
6.784285,-9.786225,-5.174248
6.800597,-11.25127,-6.439548
