Time,COP X (cm),COP Y (cm)
0,-0.8049499,1.055558
0.02,-0.9918358,1.001898
0.3107581,7.12608,-0.7461096
0.3390949,7.259788,-0.2201068
0.3556641,7.319883,0.1984515
0.3722309,7.13492,0.429716
0.3890115,6.670683,0.7691504
0.4059502,6.804111,0.9283173
0.4219588,6.551972,1.279405
0.438929,6.551972,1.279405
0.4550638,5.862661,1.375107
0.4718102,5.756893,1.344462
0.4888657,5.706892,0.9847387
0.504764,6.077195,0.6804438
0.521331,6.077195,0.6804438
0.5378971,6.077195,0.6804438
0.5545513,6.229133,0.8721855
0.5710309,6.266531,0.9239054
0.5876406,6.820331,0.9768603
0.6045938,6.8983,0.726931
0.6207314,6.946429,0.4014919
0.6372975,6.946429,0.4014919
0.6538638,7.306802,-0.07599941
0.6704312,7.615648,-0.1254521
0.6869979,7.615648,-0.1254521
0.7035649,7.427985,-0.3463168
0.7201316,7.348409,-0.621069
0.7368823,7.348409,-0.621069
0.7532642,-0.293215,-4.29765
0.7698847,-5.849203,-5.315082
0.786964,-5.849203,-5.315082
0.8029649,-2.313666,-4.732035
0.8196114,-2.313666,-4.732035
0.8360981,-2.133781,-5.350913
0.8526645,-2.845161,-6.539035
0.8692312,-2.845161,-6.539035
0.8859479,-4.000662,-7.261037
0.9029085,-4.000662,-7.261037
0.9189317,-4.000662,-7.261037
0.9357798,-6.300581,-8.410584
0.9520639,-6.300581,-8.410584
0.9689586,-6.420652,-8.860191
0.9857838,-5.469347,-8.788976
1.001765,-4.788416,-8.738466
1.018331,-4.788416,-8.738466
1.034897,-4.320078,-9.166104
1.051741,-4.149656,-9.411997
1.068031,-4.225408,-9.649871
1.084709,-4.492156,-9.904278
1.101164,-4.48039,-10.34066
1.117731,-4.48039,-10.34066
1.134675,-5.290102,-10.8
1.150864,-6.069406,-10.24998
1.16755,-5.019709,-9.488731
1.184556,-4.315205,-9.482865
1.200564,-4.633114,-9.777596
1.217463,-4.633114,-9.777596
1.23373,-5.811119,-9.003673
1.25073,-5.516331,-8.530334
1.266935,-5.159673,-8.138245
1.284019,-5.067059,-8.083583
1.299979,-5.067059,-8.083583
1.316809,-4.917655,-7.912822
1.333098,-4.790148,-7.761748
1.349966,-4.37516,-7.401812
1.366894,-3.762923,-6.954113
1.382887,-3.034523,-5.838232
1.399735,-3.034523,-5.838232
1.415931,-2.989284,-4.59624
1.432617,-2.503757,-4.211135
1.44946,-1.99183,-3.784259
1.465642,-0.3819974,-3.333343
1.482679,4.253678,-2.285722
1.498764,4.253678,-2.285722
1.515613,6.912817,-1.742982
1.532546,9.048104,-1.270058
1.54867,9.927185,-0.5292599
1.565549,10.0004,1.244002
1.581618,10.0004,1.244002
1.598497,10.0004,1.244002
1.614741,8.830373,3.368267
1.631832,8.830373,3.368267
1.647866,7.366866,3.863531
1.664431,5.300092,2.821817
1.680998,5.300092,2.821817
1.697774,5.300092,2.821817
1.714868,0.5136247,2.877997
1.730855,0.5181776,2.139681
1.747265,0.5181776,2.139681
1.763971,0.3545488,2.057827
1.780835,2.089904,1.957657
1.797037,2.089904,1.957657
1.814028,3.068292,0.5976062
1.831036,2.02703,-0.01657286
1.846664,2.02703,-0.01657286
1.863231,0.1704099,-1.072146
1.879894,0.1704099,-1.072146
1.896919,-0.1606759,-1.864535
1.912931,0.04215907,-1.992051
1.92987,0.2725624,-2.333446
1.946064,0.4860332,-2.794664
1.962779,0.4860332,-2.794664
1.979198,0.4860332,-2.794664
1.995843,1.708737,-5.411035
2.012896,2.09854,-6.403817
2.028904,2.149307,-7.507057
2.045837,2.209794,-8.172809
2.062031,1.452069,-8.632094
2.078598,1.452069,-8.632094
2.095165,0.8348603,-8.620397
2.111821,0.1912534,-8.666989
2.128696,-0.4511798,-8.801492
2.144865,-0.6996361,-8.835188
2.161774,-0.7396573,-8.90791
2.177998,-0.7396573,-8.90791
2.194662,-0.7004347,-9.357566
2.211797,-0.6820986,-9.37243
2.227991,-0.5611883,-9.470176
2.244265,-0.3176917,-9.617025
2.260831,-0.3679568,-9.759256
2.277815,-0.3679568,-9.759256
2.294061,-0.5752024,-9.502275
2.311045,-0.3001825,-9.058861
2.327098,-0.2259504,-8.797056
2.344045,-0.1408571,-8.510997
2.361036,-0.1058827,-7.768614
2.376908,-0.1058827,-7.768614
2.394026,-0.2373211,-7.126333
2.409931,-0.433039,-6.682018
2.42678,-0.4245232,-6.092358
2.443079,0.5626227,-4.832204
2.459641,0.5626227,-4.832204
2.476198,1.26439,-3.303596
2.492764,0.465712,-2.383907
2.509332,-0.1051605,-2.009675
2.526611,-0.6505691,-0.7851552
2.542469,-0.6505691,-0.7851552
2.559581,-0.6505691,-0.7851552
2.575888,-0.3527803,0.4322573
2.592803,-0.3527803,0.4322573
2.609032,-0.4546071,0.8682501
2.625312,-0.4767051,1.191911
2.641909,-0.3972058,1.369212
2.658431,-0.3972058,1.369212
2.674998,-0.7565463,1.559706
2.691565,-0.8133032,1.881774
2.708131,-0.7681505,1.889701
2.724945,-0.767727,1.926631
2.741263,-0.6701427,1.945648
2.757904,-0.6701427,1.945648
2.774977,-0.6517777,1.604204
2.790975,-0.6206229,1.396811
2.807531,-0.5991546,1.000326
2.824098,-0.5506068,0.5456473
2.841012,-0.6089727,-0.05905184
2.857231,-0.6089727,-0.05905184
2.873952,-0.3219301,-1.345409
2.890364,-0.338988,-2.001888
2.906969,-0.3856806,-2.537722
2.92394,-0.1103993,-2.767795
2.940065,-0.1069748,-2.991925
2.956632,-0.1069748,-2.991925
2.973198,-0.3260891,-3.095164
2.989764,-0.2327642,-3.192465
3.006701,-0.3671427,-3.271667
3.023554,-0.2889665,-3.255447
3.039465,-0.2889665,-3.255447
3.056031,-0.1672413,-3.204923
